Date,ARM,AUR,DELL,HOOD,INTC,KOPN,LCID,LUNR,META,NVDA,QBTS,UEC,^SPX
2023-11-10,52.27000045776367,1.815000057220459,71.34071350097656,8.229999542236328,38.346431732177734,1.4600000381469727,38.0,2.8499999046325684,326.9761962890625,48.30925369262695,0.7200000286102295,5.639999866485596,4415.240234375
2023-11-13,51.689998626708984,1.840000033378601,71.60276794433594,8.3100004196167,37.72475814819336,1.4600000381469727,39.70000076293945,2.740000009536743,327.3938903808594,48.59409713745117,0.7260000109672546,5.96999979019165,4411.5498046875
2023-11-14,53.43000030517578,2.1500000953674316,71.71925354003906,8.5,38.889163970947266,1.5399999618530273,41.70000076293945,3.0399999618530273,334.47503662109375,49.62954330444336,0.8199999928474426,6.070000171661377,4495.7001953125
2023-11-15,55.43000030517578,2.0899999141693115,70.79716491699219,8.329999923706055,40.07330322265625,1.6100000143051147,42.20000076293945,3.0399999618530273,330.8946838378906,48.86195755004883,0.8939999938011169,5.909999847412109,4502.8798828125
2023-11-16,54.22999954223633,2.119999885559082,70.40892028808594,7.940000057220459,42.77709197998047,1.600000023841858,42.79999923706055,2.9700000286102295,332.36663818359375,49.45364761352539,0.9139999747276306,6.159999847412109,4508.240234375
2023-11-17,54.9900016784668,2.200000047683716,71.43778228759766,8.100000381469727,43.23101806640625,1.600000023841858,42.5,2.990000009536743,333.2120056152344,49.2717399597168,0.859000027179718,6.360000133514404,4514.02001953125
2023-11-20,58.68000030517578,2.2200000286102295,71.20482635498047,8.130000114440918,44.14872360229492,1.6299999952316284,43.400001525878906,2.9800000190734863,338.1151123046875,50.38215255737305,0.8759999871253967,6.440000057220459,4547.3798828125
2023-11-21,58.65999984741211,2.2100000381469727,71.4571762084961,7.980000019073486,43.063262939453125,1.5299999713897705,42.20000076293945,2.9000000953674316,335.1414489746094,49.91739273071289,0.8360000252723694,6.389999866485596,4538.18994140625
2023-11-22,61.7599983215332,2.1600000858306885,72.48603820800781,8.220000267028809,43.09286117553711,1.5800000429153442,42.0,2.9100000858306885,339.6268005371094,48.69004821777344,0.7850000262260437,6.360000133514404,4556.6201171875
2023-11-24,63.880001068115234,2.180000066757202,72.22398376464844,8.289999961853027,43.3790283203125,1.6200000047683716,42.400001525878906,3.0299999713897705,336.38458251953125,47.750553131103516,0.8600000143051147,6.440000057220459,4559.33984375
2023-11-27,61.0,2.1600000858306885,72.27249908447266,8.390000343322754,43.4974479675293,1.590000033378601,41.900001525878906,2.950000047683716,332.8739013671875,48.216304779052734,0.8429999947547913,6.400000095367432,4550.43017578125
2023-11-28,61.91999816894531,2.1649999618530273,71.85513305664062,8.640000343322754,43.64546203613281,1.5700000524520874,44.0,3.0299999713897705,337.14044189453125,47.79552459716797,0.828000009059906,6.289999961853027,4554.89013671875
2023-11-29,62.209999084472656,2.309999942779541,72.85487365722656,8.920000076293945,44.34607696533203,1.5499999523162842,43.599998474121094,2.880000114440918,330.3875427246094,48.114356994628906,0.8370000123977661,6.170000076293945,4550.580078125
2023-11-30,61.5,2.190000057220459,73.6410903930664,8.800000190734863,44.1092529296875,1.5199999809265137,42.20000076293945,2.8499999046325684,325.36505126953125,46.74508285522461,0.8199999928474426,6.519999980926514,4567.7998046875
2023-12-01,63.900001525878906,2.4200000762939453,69.81682586669922,9.319999694824219,43.16194152832031,1.5700000524520874,43.29999923706055,2.940000057220459,323.0477294921875,46.74009323120117,0.9440000057220459,6.539999961853027,4594.6298828125
2023-12-04,61.93000030517578,2.430000066757202,67.28350830078125,9.550000190734863,41.79030990600586,1.5499999523162842,43.599998474121094,3.3299999237060547,318.27392578125,45.485755920410156,1.0099999904632568,6.75,4569.77978515625
2023-12-05,63.59000015258789,2.390000104904175,67.25438690185547,10.529999732971191,41.365989685058594,1.590000033378601,41.900001525878906,3.130000114440918,316.55340576171875,46.5452880859375,0.9710000157356262,6.650000095367432,4567.18017578125
2023-12-06,61.060001373291016,2.4700000286102295,65.6431655883789,11.270000457763672,40.72458267211914,1.5800000429153442,44.0,3.240000009536743,315.71795654296875,45.482757568359375,1.0299999713897705,6.5,4549.33984375
2023-12-07,62.439998626708984,2.630000114440918,66.57494354248047,11.479999542236328,41.59295654296875,1.5800000429153442,44.79999923706055,3.184999942779541,324.80804443359375,46.57527542114258,0.9950000047683716,6.590000152587891,4585.58984375
2023-12-08,67.2300033569336,2.7100000381469727,66.68172454833984,11.729999542236328,42.13568878173828,1.559999942779541,47.29999923706055,3.059999942779541,330.9344482421875,47.48487091064453,1.0499999523162842,6.739999771118164,4604.3701171875
2023-12-11,64.88999938964844,2.8399999141693115,67.20585632324219,11.710000038146973,43.95136260986328,1.4800000190734863,46.099998474121094,3.009999990463257,323.5052490234375,46.60626220703125,1.0,6.78000020980835,4622.43994140625
2023-12-12,64.70999908447266,2.9000000953674316,67.93382263183594,11.630000114440918,43.45797348022461,1.399999976158142,42.20000076293945,2.859999895095825,332.3964538574219,47.63580322265625,0.9300000071525574,6.809999942779541,4643.7001953125
2023-12-13,65.61000061035156,3.140000104904175,67.8173599243164,11.989999771118164,43.98097229003906,1.440000057220459,44.900001525878906,2.9000000953674316,332.9136047363281,48.06661605834961,0.9599999785423279,6.340000152587891,4707.08984375
2023-12-14,70.73500061035156,3.5999999046325684,70.30213928222656,12.09000015258789,44.582908630371094,1.4600000381469727,51.400001525878906,2.880000114440918,331.3521728515625,48.3284912109375,1.0199999809265137,6.730000019073486,4719.5498046875
2023-12-15,71.02999877929688,3.819999933242798,69.51594543457031,11.6899995803833,45.54995346069336,1.5399999618530273,47.70000076293945,2.799999952316284,333.0926208496094,48.86825180053711,0.9810000061988831,6.340000152587891,4719.18994140625
2023-12-18,68.87000274658203,3.9800000190734863,71.21453094482422,11.930000305175781,45.08616638183594,1.5499999523162842,47.29999923706055,2.7100000381469727,342.73968505859375,50.054725646972656,0.972000002861023,6.460000038146973,4740.56005859375
2023-12-19,69.43000030517578,4.329999923706055,71.36982727050781,13.170000076293945,46.0433464050293,1.6399999856948853,47.20000076293945,2.740000009536743,348.4483947753906,49.581932067871094,1.0199999809265137,6.210000038146973,4768.3701171875
2023-12-20,68.4000015258789,4.119999885559082,70.29244232177734,12.619999885559082,45.155242919921875,1.6699999570846558,42.599998474121094,2.5899999141693115,347.374267578125,48.089595794677734,0.9399999976158142,6.320000171661377,4698.35009765625
2023-12-21,71.19999694824219,4.269999980926514,73.10724639892578,12.890000343322754,46.45779800415039,1.7699999809265137,43.29999923706055,2.559999942779541,352.1580810546875,48.96821212768555,0.9549999833106995,6.590000152587891,4746.75
2023-12-22,72.29000091552734,4.369999885559082,73.48578643798828,12.949999809265137,47.365638732910156,1.7699999809265137,42.599998474121094,2.5,351.4618835449219,48.80828094482422,0.9229999780654907,6.619999885559082,4754.6298828125
2023-12-26,73.41000366210938,4.550000190734863,74.7378921508789,12.9399995803833,49.83259963989258,1.940000057220459,43.400001525878906,2.430000066757202,352.8940124511719,49.257076263427734,0.9679999947547913,6.739999771118164,4774.75
2023-12-27,74.25,4.690000057220459,74.99024963378906,13.260000228881836,50.08916091918945,2.049999952316284,43.20000076293945,2.5299999713897705,355.8775939941406,49.39501953125,0.9700000286102295,6.639999866485596,4781.580078125
2023-12-28,77.47000122070312,4.650000095367432,74.42729187011719,13.180000305175781,49.724056243896484,2.0899999141693115,42.599998474121094,2.430000066757202,356.3649597167969,49.49997329711914,0.9330000281333923,6.440000057220459,4783.35009765625
2023-12-29,75.1449966430664,4.369999885559082,74.2525634765625,12.739999771118164,49.58590316772461,2.0299999713897705,42.099998474121094,2.555000066757202,352.02874755859375,49.49997329711914,0.8799999952316284,6.400000095367432,4769.830078125
2024-01-02,68.91999816894531,3.7300000190734863,72.59281921386719,12.369999885559082,47.16828155517578,2.049999952316284,41.5,2.359999895095825,344.4006042480469,48.146575927734375,0.8220000267028809,6.440000057220459,4742.830078125
2024-01-03,67.91000366210938,3.2850000858306885,74.3496322631836,11.789999961853027,46.42819595336914,1.9900000095367432,39.599998474121094,2.240000009536743,342.59051513671875,47.5478401184082,0.8399999737739563,6.329999923706055,4704.81005859375
2024-01-04,68.38999938964844,3.140000104904175,73.73814392089844,11.979999542236328,46.25057601928711,2.130000114440918,38.900001525878906,2.109999895095825,345.2260437011719,47.976654052734375,0.8759999871253967,6.449999809265137,4688.68017578125
2024-01-05,67.05000305175781,3.2899999618530273,73.61196899414062,11.890000343322754,46.27030944824219,2.119999885559082,37.79999923706055,2.299999952316284,350.0297546386719,49.075157165527344,0.8209999799728394,6.409999847412109,4697.240234375
2024-01-08,72.83999633789062,3.4800000190734863,77.02855682373047,12.420000076293945,47.809696197509766,2.3399999141693115,38.0,2.2899999618530273,356.703125,52.22975158691406,0.8799999952316284,6.449999809265137,4763.5400390625
2024-01-09,71.87999725341797,3.490000009536743,74.84465026855469,12.199999809265137,47.41497802734375,2.4100000858306885,36.20000076293945,2.299999952316284,355.47979736328125,53.116363525390625,0.8479999899864197,6.760000228881836,4756.5
2024-01-10,70.7699966430664,3.4000000953674316,75.95115661621094,12.140000343322754,46.84264373779297,2.299999952316284,34.099998474121094,2.8299999237060547,368.4486999511719,54.32582473754883,0.8460000157356262,6.860000133514404,4783.4501953125
2024-01-11,69.7699966430664,3.2699999809265137,77.36827087402344,11.710000038146973,47.010398864746094,2.259999990463257,32.599998474121094,2.390000104904175,367.6530456542969,54.797611236572266,0.7879999876022339,6.929999828338623,4780.240234375
2024-01-12,70.0,3.259999990463257,76.98002624511719,11.020000457763672,46.49726486206055,2.299999952316284,30.049999237060547,2.559999942779541,372.44671630859375,54.6856575012207,0.7599999904632568,7.769999980926514,4783.830078125
2024-01-16,68.4800033569336,3.1700000762939453,77.1838607788086,10.930000305175781,46.43806457519531,2.1700000762939453,28.799999237060547,2.5899999141693115,365.455078125,56.3569221496582,0.722000002861023,8.0,4765.97998046875
2024-01-17,69.86000061035156,3.0999999046325684,75.37850189208984,10.649999618530273,45.4512825012207,2.0,27.799999237060547,2.5899999141693115,366.360107421875,56.02806854248047,0.7080000042915344,8.0,4739.2099609375
2024-01-18,74.2300033569336,3.049999952316284,76.10645294189453,10.670000076293945,46.122291564941406,2.069999933242798,26.5,2.569999933242798,374.07781982421875,57.081600189208984,0.7059999704360962,7.920000076293945,4780.93994140625
2024-01-19,78.58000183105469,3.0999999046325684,80.74604797363281,10.710000038146973,47.51365661621094,2.009999990463257,27.100000381469727,2.609999895095825,381.3578796386719,59.46453857421875,0.6850000023841858,7.739999771118164,4839.81005859375
2024-01-22,77.11000061035156,3.2799999713897705,79.10810852050781,10.989999771118164,47.582733154296875,2.119999885559082,28.299999237060547,2.799999952316284,379.6969909667969,59.627471923828125,0.7829999923706055,7.630000114440918,4850.43017578125
2024-01-23,76.3499984741211,3.390000104904175,80.36579895019531,10.949999809265137,48.243873596191406,2.059999942779541,30.299999237060547,2.7699999809265137,383.09832763671875,59.846370697021484,0.8109999895095825,7.920000076293945,4864.60009765625
